RFIbab,tprrfibab,fprrfibab,,RFIipc,fprrfiipc,tprrfiipc
2.5,1,0,,1.1,0,1
3,1,0,,1.5,0,1
3.5,1,0,,2,0,1
4,1,0,,2.5,0.1,0.9
4.5,1,0,,3,0.266666667,0.733333333
5,1,0,,3.5,0.4,0.6
5.5,1,0,,4,0.566666667,0.433333333
6,0.967741935,0.032258065,,4.5,0.666666667,0.333333333
6.5,0.967741935,0.032258065,,5,0.833333333,0.166666667
7,0.935483871,0.064516129,,5.5,0.866666667,0.133333333
7.5,0.903225806,0.096774194,,6,0.9,0.1
8,0.838709677,0.161290323,,6.5,0.9,0.1
8.5,0.225806452,0.774193548,,7,0.966666667,0.033333333
9,0,1,,7.5,0.966666667,0.033333333
9.5,0,1,,8,0.966666667,0.033333333
10,0,1,,8.5,0.966666667,0.033333333
,,,,9,0.966666667,0.033333333
,,,,9.5,0.966666667,0.033333333
,,,,10,0.966666667,0.033333333
,,,,10.5,1,0
,,,,,,
,,,,*only on negatives?,,
